Feature,Importance
alcohol,0.5831646601171673
volatile_acidity,0.16924355173295252
sulphates,0.05452701086246101
free_sulfur_dioxide,0.04750702017943284
residual_sugar,0.04206104068055462
total_sulfur_dioxide,0.041743182375781736
density,0.022071958708389867
citric_acid,0.017951472193667054
chlorides,0.014117176972121726
ph,0.007612926177471398
fixed_acidity,0.0
